ID,CODE,VALID_FROM,VALID_UNTIL,SNAME,LNAME
1000496,MDCR,1/1/1970,1/1/2036,682,Meridian call-n-Ride
1000497,NICR,1/1/1970,1/1/2036,683,North Inverness call-n-Ride
30,30,1/1/1970,1/1/2036,30,South Federal Blvd
31,31,1/1/1970,1/1/2036,31,Federal Blvd
228,228,1/1/1970,1/1/2036,228,Louisville / Broomfield
32,32,1/1/1970,1/1/2036,32,West 32nd Avenue / City Park
34,34,1/1/1970,4/24/2016,34,Platte Industrial
35,35,1/1/1970,1/1/2036,35,Hampden Avenue
36,36,1/1/1970,1/1/2036,36,Fort Logan
38,38,1/1/1970,4/24/2016,38,38th Avenue
1000498,2X,1/1/1970,1/1/2036,502,Morrison Express
1000499,FHCR,1/1/1970,1/1/2036,693,Federal Heights Call-n-Ride
1000500,3L,1/1/1970,1/1/2036,503,East Alameda Limited
1000501,HRCR,1/1/1970,1/1/2036,677,Highlands Ranch call-n-Ride
40,40,1/1/1970,1/1/2036,40,Colorado Boulevard
1000502,US85,1/1/1970,10/6/2012,814,US85 & Bridge St. pnR
43,43,1/1/1970,4/24/2016,43,MLK Blvd / Gateway
44,44,1/1/1970,1/1/2036,44,44th Avenue
1000503,BMCR,1/1/1970,1/1/2036,672,Broomfield call-n-Ride
45,45,1/1/1970,4/24/2016,45,Montbello / Green Valley Ranch
46,46,1/1/1970,1/1/2036,446,South Dahlia
48,48,1/1/1970,1/1/2036,48,East 48th Avenue / Commerce City
1000504,80X,1/1/1970,1/1/2036,580,West 80th Express
1000505,ILCR,1/1/1970,1/1/2036,678,Interlocken call-n-Ride
1000506,FTLX,1/1/1970,1/1/2036,95,First Transit Loop Extra
1000507,AA,1/1/1970,8/14/2016,504,Wagon Road / DIA
1000508,AB,1/1/1970,8/27/2017,357,Boulder / DIA
0,0,1/1/1970,1/1/2036,400,South Broadway
1000509,PKCR,1/1/1970,1/1/2036,686,Parker call-n-Ride
1,1,1/1/1970,8/16/2015,1,West 1st Avenue
1000510,AF,1/1/1970,4/28/2013,519,Federal Center / Downtown / DIA
3,3,1/1/1970,1/1/2036,3,Alameda Avenue
6,6,1/1/1970,4/24/2016,6,East 6th Avenue / North Pecos
8,8,1/1/1970,1/1/2036,8,North Broadway / Huron
9,9,1/1/1970,1/1/2036,9,West 10th Avenue
1000511,BNLX,1/1/1970,9/7/2012,824,Bronco Northern Loop Extra
1000512,AS,1/1/1970,8/16/2015,526,Stapleton / DIA
51,51,1/1/1970,1/1/2036,51,Sheridan Blvd
1000513,AT,1/1/1970,8/27/2017,521,Arapahoe County / DIA
1000514,SKIP,1/1/1970,1/1/2036,202,Broadway
52,52,1/1/1970,1/1/2036,52,W 52nd Avenue / South Bannock
1000515,B,1/1/1970,1/1/2036,340,Boulder / Denver
54,54,1/1/1970,1/1/2036,54,Montbello Industrial Park
1000516,WAGN,1/1/1970,10/6/2012,816,Wagon Road/Thornton pnR
59,59,1/1/1970,1/1/2036,59,West Bowles
1000517,J,1/1/1970,1/1/2036,343,Longmont / East Boulder / CU
1000518,47X,1/1/1970,1/1/2036,547,Green Valley Ranch/Montbello Exp
1000519,L,1/1/1970,1/1/2036,355,Longmont / Denver
1000520,N,1/1/1970,1/1/2036,361,Nederland / Boulder
1000521,P,1/1/1970,1/1/2036,557,Parker / Denver
1000522,R,1/1/1970,1/1/2036,546,Brighton / Denver
1000523,S,1/1/1970,8/16/2015,322,Denver / East Boulder
1000524,T,1/1/1970,1/1/2036,365,Boulder / Greenwood Plaza
1000525,Y,1/1/1970,1/1/2036,360,Lyons / Boulder
1000526,LSCR,1/1/1970,1/1/2036,681,Louisville call-n-Ride
1000527,EVGN,1/1/1970,8/20/2016,805,Evergreen/El Rancho pnR
65,65,1/1/1970,1/1/2036,65,Monaco Parkway
66,66,1/1/1970,1/1/2036,66,Arapahoe Road
1000528,VTLX,1/1/1970,1/1/2036,94,Veolia Loop Extra
67,67,1/1/1970,1/1/2036,67,Ridge Road
1000529,5X,1/1/1970,1/1/2036,505,Federal Center Express
1000530,30L,1/1/1970,1/1/2036,91,South Federal Limited
1000531,DRCK,1/1/1970,8/20/2016,803,Dry Creek/University
1000532,DRCR,1/1/1970,1/1/2036,674,Dry Creek call-n-Ride
1000533,83L,1/1/1970,1/1/2036,83,Cherry Creek / Parker Rd Limited
1000534,JUMP,1/1/1970,1/1/2036,230,Boulder / Lafayette via Arapahoe
72,72,1/1/1970,1/1/2036,72,72nd Avenue
73,73,1/1/1970,1/1/2036,73,Quebec Street
1000535,CV,1/1/1970,1/1/2036,545,Pine Junction / Conifer / Denver
76,76,1/1/1970,1/1/2036,76,Wadsworth Blvd
77,77,1/1/1970,6/11/2012,77,Ken Caryl Ave
1000536,OLDE,1/1/1970,8/20/2016,810,Olde Town Arvada pnR
1000537,6X,1/1/1970,1/1/2036,506,Federal Center/ I-25 & Broadway
1000538,MSS,1/1/1970,9/7/2012,820,Market Street Station
1000539,HAVA,1/1/1970,9/7/2012,806,Havana/Alameda pnR
1000540,DASH,1/1/1970,1/1/2036,232,Boulder / Lafayette via Louisville
1000541,DB,1/1/1970,1/1/2036,339,Driver Bus - NOG MOG
1000542,SMOR,1/1/1970,1/1/2036,812,Southmoor Station
1000543,DD,1/1/1970,1/1/2036,358,Boulder / Colorado Blvd
323,323,1/1/1970,2/26/2013,323,Skyline / Twin Peaks
324,324,1/1/1970,2/26/2013,324,Main Street / Twin Peaks
1000544,PNRY,1/1/1970,8/20/2016,811,Pinery/Parker pnR
326,326,1/1/1970,2/26/2013,326,Northside Loop Clockwise
327,327,1/1/1970,2/26/2013,327,Northside Loop Counterclockwise
1000545,31X,1/1/1970,1/1/2036,531,North Federal Express
1000546,DM,1/1/1970,2/26/2013,341,Boulder / Anschutz-Fitzsimons
1000547,CCLX,1/1/1970,1/1/2036,96,Comerce City Div Loop Extra
80,80,1/1/1970,1/1/2036,80,80th Avenue
1000548,79L,1/1/1970,1/1/2036,79,Cherry Creek / Dayton Limited
1000549,55X,1/1/1970,1/1/2036,555,Olde Town Arvada Express
88,88,1/1/1970,4/24/2016,88,Northglenn/Commerce City/Stapleton
1000550,LNCR,1/1/1970,1/1/2036,680,Lone Tree call-n-Ride
1000551,ORCR,1/1/1970,1/1/2036,684,Orchard call-n-Ride
92,92,1/1/1970,1/1/2036,92,92nd Avenue
1000552,EV,1/1/1970,1/1/2036,342,Evergreen / Aspen Park / Denver
100,100,1/1/1970,1/1/2036,100,Kipling Street
101,101,1/1/1970,1/1/2036,101,Light Rail
104,104,1/1/1970,6/11/2012,104,104th Avenue
105,105,1/1/1970,1/1/2036,105,Havana Street
1000553,BOLT,1/1/1970,1/1/2036,356,Boulder / Longmont
1000554,SHOP,1/1/1970,8/17/2014,496,Shopper's Special
1000555,SOHS,1/1/1970,8/20/2016,813,South High School
1000556,ARAP,1/1/1970,5/26/2013,801,Arapahoe Village Station
1000557,WEST,1/1/1970,1/1/2036,818,Westminster/Broadway pnR
1000558,402L,1/1/1970,1/1/2036,402,Highlands Ranch Parkway
112,112,1/1/1970,1/1/2036,112,West 112th Avenue
1000559,86X,1/1/1970,1/1/2036,586,Westminster Center Express
401,401,1/1/1970,8/16/2015,401,Ranches Crosstown
403,403,1/1/1970,1/1/2036,403,Wildcat Crosstown
1000560,120X,1/1/1970,1/1/2036,620,Wagon Road / Thornton Express
1000561,MALL,1/1/1970,1/1/2036,486,Free Mall Ride
1000562,FCS,1/1/1970,10/6/2012,802,Federal Center Station
1000563,EHS,1/1/1970,9/17/2016,804,East High School
1000564,GS,1/1/1970,1/1/2036,354,Golden / Boulder
1000565,BOND,1/1/1970,1/1/2036,250,30th Street
120,120,1/1/1970,1/1/2036,120,120th Avenue / Brighton
121,121,1/1/1970,1/1/2036,121,Peoria Street
410,410,1/1/1970,1/1/2036,410,Lincoln Ave / Parker
1000566,87X,1/1/1970,1/1/2036,587,South Wadsworth Express
128,128,1/1/1970,1/1/2036,128,Broomfield / Wagon Road
1000567,LGMT,1/1/1970,5/26/2013,822,Longmont
1000568,40X,1/1/1970,1/1/2036,540,North Colorado Express
1000569,116X,1/1/1970,1/1/2036,616,South Simms Express
1000570,169L,1/1/1970,8/27/2017,669,Buckley / Tower DIA Limited
1000571,145X,1/1/1970,8/14/2016,645,Brighton / DIA Express
1000572,HX,1/1/1970,8/16/2015,359,28th Street/ Civic Center
130,130,1/1/1970,1/1/2036,130,Yale / Buckley
131,131,1/1/1970,1/15/2017,131,East Iliff / Seven Hills
1000573,FED,1/1/1970,8/20/2016,819,Federal Shuttle
133,133,1/1/1970,1/1/2036,133,Hampden/Tower
135,135,1/1/1970,1/1/2036,135,Smoky Hill Road
1000574,STMP,1/1/1970,1/1/2036,233,CU East Campus
1000575,122X,1/1/1970,1/1/2036,622,Wagon Road / Civic Center Express
1000576,PTHE,1/1/1970,1/1/2036,482,Pathways East
1000577,36L,1/1/1970,1/1/2036,90,Fort Logan Limited
139,139,1/1/1970,1/1/2036,139,Quincy Avenue
1000578,MNRL,1/1/1970,5/26/2013,807,Littleton/Mineral Station
1000579,PTHW,1/1/1970,1/1/2036,483,Pathways West
1000580,BMLX,1/1/1970,9/7/2012,823,BroncosRide Loop Extra
1000581,BLDR,1/1/1970,10/6/2012,821,Boulder/Broomfield
1000582,NINE,1/1/1970,8/20/2016,809,Nine Mile Station
1000583,MONT,1/1/1970,1/1/2036,808,Montbello pnR
1000584,MLX,1/1/1970,1/1/2036,97,MOG Loop Extra
1000585,100X,1/1/1970,1/1/2036,600,South Kipling Express
1000586,0L,1/1/1970,1/1/2036,500,South Broadway Limited
204,204,1/1/1970,1/1/2036,204,Table Mesa / Moorhead / North 19th
205,205,1/1/1970,3/1/2014,205,28th St / Gunbarrel
206,206,1/1/1970,8/19/2012,206,Pearl / Eisenhower
10,10,1/1/1970,1/1/2036,10,East 12th Avenue
208,208,1/1/1970,1/1/2036,208,Iris / Valmont
11,11,1/1/1970,1/1/2036,11,Mississippi Avenue
209,209,1/1/1970,8/27/2017,209,CU / Thunderbird
12,12,1/1/1970,2/26/2013,12,Downing Street
153,153,1/1/1970,1/1/2036,153,Chambers Road
14,14,1/1/1970,1/1/2036,14,West Florida Avenue
15,15,1/1/1970,1/1/2036,15,East Colfax Avenue
16,16,1/1/1970,1/1/2036,16,West Colfax Avenue
17,17,1/1/1970,4/28/2013,17,Jeffco
1000587,72X,1/1/1970,1/1/2036,572,Quaker via Ward Express
1000588,BRCR,1/1/1970,1/1/2036,673,Brighton call-n-Ride
1000589,15L,1/1/1970,1/1/2036,18,East Colfax Limited
20,20,1/1/1970,1/1/2036,20,20th Avenue
1000590,ART,1/1/1970,1/1/2036,485,ART
1000591,EVCR,1/1/1970,1/1/2036,675,Evergreen call-n-Ride
21,21,1/1/1970,1/1/2036,21,Evans Avenue
24,24,1/1/1970,1/1/2036,24,University Blvd
27,27,1/1/1970,1/1/2036,27,Yale Avenue
28,28,1/1/1970,1/1/2036,28,28th Avenue
29,29,1/1/1970,1/1/2036,29,Riverbend
1000592,STCR,1/1/1970,1/1/2036,689,South Thornton call-n-Ride
1000593,WADS,1/1/1970,8/20/2016,815,Wadsworth-Hampden pnR
1000594,YL,1/1/1970,2/26/2013,352,Lyons To Longmont
1000595,APCR,1/1/1970,1/1/2036,670,Arapahoe call-n-Ride
1000596,TNCR,1/1/1970,1/1/2036,690,Thornton/Northglenn call-n-Ride
1000597,WARD,1/1/1970,8/20/2016,817,Ward Road pnR
1000598,16L,1/1/1970,1/1/2036,516,West Colfax Limited
225,225,1/1/1970,1/1/2036,225,Boulder / Lafayette via Baseline
1024760,LGCR,1/1/1970,6/11/2012,LGCR,LGCR
206,206,8/19/2012,4/28/2013,206,Pearl / Eisenhower / Fairview H.S.
1095822,BBT,1/1/1970,1/1/2036,855,BOULDER-TABLE MESA
1000511,BNLX,9/7/2012,10/6/2012,824,NOG Loop Extra
1000538,MSS,9/7/2012,1/1/2036,820,Market Street Shuttle
1000539,HAVA,9/7/2012,1/1/2036,806,Alameda/Havana PnR
1095823,90B,1/1/1970,1/1/2036,853,NINE MILE PnR
1095824,86B,1/1/1970,1/1/2036,852,WEST/BROOM/McCASLIN PnR
1095825,120B,1/1/1970,1/1/2036,854,WAGON ROAD PnR
1095826,36B,1/1/1970,1/1/2036,850,WADS-HAMP/FCS
1095827,37B,1/1/1970,1/1/2036,851,SOUTHMOOR & I-25/BDWY
1000580,BMLX,9/7/2012,10/6/2012,823,MOG Loop Extra
1095828,LB,1/1/1970,1/1/2036,856,LONGMONT
1103840,BR,1/1/1970,1/1/2036,708,Boulder
1103841,5R,1/1/1970,1/1/2036,701,Federal Center Station
1103842,RNLX,1/1/1970,4/6/2013,711,NOG Loop Extra
1103843,55R,1/1/1970,1/1/2036,704,Olde Town Arvada PnR
1103844,86R,1/1/1970,4/6/2013,705,Broomfield/Wstm PnR
1103845,120R,1/1/1970,1/1/2036,707,Wagon Road/Thornton PnR
1103846,36R,1/1/1970,1/1/2036,702,Wadsworth-Hampden PnR
1103847,LR,1/1/1970,1/1/2036,709,Longmont
1278577,XCV,6/1/2013,1/1/2036,459,CV/EV  Federal Center Station
1476388,Q04,1/1/1970,7/2/2016,904,18th/Cal - 30th/Down via California
1278587,Q34,7/6/2013,7/20/2013,934,Decatur/Federal TO Union Station
1537489,Q35,1/1/1970,4/24/2016,935,Colfax at Auraria Station TO MSS
206,206,8/18/2013,8/27/2017,206,Pearl / Eisenhower / Fairview H.S.
1820545,mall,1/1/1970,1/1/2036,mall,mall
2577943,Q81,1/1/1970,1/1/2036,981,Knox to JeffCo
1000567,LGMT,8/7/2014,5/22/2015,822,Longmont
102,102,1/1/1970,1/1/2036,102,Light Rail Loop Extra
1000554,SHOP,8/17/2014,1/4/2015,496,Shopper''s Special
2600795,MRLX,1/1/1970,1/1/2036,488,MetroRide Loop Extra
1000502,US85,9/27/2014,10/4/2014,726,US85 & Bridge
1000511,BNLX,9/27/2014,10/4/2014,725,NOG Loop Extra
1000516,WAGN,9/27/2014,10/4/2014,722,Wagon Road
1000580,BMLX,9/27/2014,10/4/2014,724,MOG Loop Extra
1000581,BLDR,9/27/2014,10/4/2014,723,Boulder
3066823,TDLX,1/1/1970,1/1/2036,94,Transdev Loop Extra
3066824,BV,1/1/1970,1/10/2015,344,Boulder / Denver All Stops
3066825,BX,1/1/1970,1/1/2036,345,Boulder / Denver Regional Express
1000554,SHOP,1/7/2015,5/10/2015,496,Shopper''''s Special
1000554,SHOP,1/4/2015,1/7/2015,496,Shopper''''s Special
1000567,LGMT,8/22/2015,5/28/2016,822,Longmont
1000502,US85,9/25/2015,10/3/2015,726,US85 & Bridge
1000511,BNLX,9/25/2015,10/3/2015,725,NOG Loop Extra
1000516,WAGN,9/25/2015,10/3/2015,722,Wagon Road
1000580,BMLX,9/25/2015,10/3/2015,724,MOG Loop Extra
1000581,BLDR,9/25/2015,10/3/2015,723,Boulder
4342329,A,1/1/1970,4/24/2016,111,CU A-Line
4446986,FF,1/1/1970,1/3/2016,FF,FF
4447223,FFLX,1/1/1970,1/3/2016,FFLX,FFLX
4447224,87L,1/1/1970,1/3/2016,87L,87L
4447225,55L,1/1/1970,1/3/2016,55L,55L
4447226,39L,1/1/1970,1/3/2016,39L,39L
4447227,72L,1/1/1970,1/3/2016,72L,72L
4447243,31L,1/1/1970,1/3/2016,31L,31L
4447244,80L,1/1/1970,1/3/2016,80L,80L
4447226,39L,1/3/2016,1/4/2016,439,North Colorado Limited
4447226,39L,1/5/2016,1/1/2036,439,North Colorado Limited
4447227,72L,1/3/2016,1/4/2016,472,Quaker via Ward Limited
4447227,72L,1/5/2016,1/1/2036,472,Quaker via Ward Limited
4447223,FFLX,1/3/2016,1/4/2016,362,Flatiron Flyer Loop Extra
4447223,FFLX,1/5/2016,1/1/2036,362,Flatiron Flyer Loop Extra
4447244,80L,1/3/2016,1/4/2016,480,West 80th Limited
4447244,80L,1/5/2016,1/1/2036,480,West 80th Limited
4447243,31L,1/3/2016,1/4/2016,431,North Federal Limited
4447243,31L,1/5/2016,1/1/2036,431,North Federal Limited
4447225,55L,1/3/2016,1/4/2016,455,Olde Town Arvada Limited
4447225,55L,1/5/2016,1/1/2036,455,Olde Town Arvada Limited
83,83,1/1/1970,1/1/2036,83,Cherry Creek / Parker Rd Limited
4446986,FF,1/3/2016,1/4/2016,350,Flatiron Flyer
4446986,FF,1/5/2016,1/1/2036,350,Flatiron Flyer
1000554,SHOP,1/3/2016,1/4/2016,496,Shopper''''s Special
1000554,SHOP,1/5/2016,4/24/2016,496,Shopper''''s Special
4447224,87L,1/3/2016,1/4/2016,87,South Wadsworth Limited
4447224,87L,1/5/2016,1/1/2036,87,South Wadsworth Limited
4447227,72L,1/4/2016,1/5/2016,472,Quaker via Ward Limited
4447223,FFLX,1/4/2016,1/5/2016,362,Flatiron Flyer Loop Extra
4447244,80L,1/4/2016,1/5/2016,480,West 80th Limited
4447243,31L,1/4/2016,1/5/2016,431,North Federal Limited
4447225,55L,1/4/2016,1/5/2016,455,Olde Town Arvada Limited
4446986,FF,1/4/2016,1/5/2016,350,Flatiron Flyer
1000554,SHOP,1/4/2016,1/5/2016,496,Shopper''''s Special
4447224,87L,1/4/2016,1/5/2016,87,South Wadsworth Limited
4447226,39L,1/4/2016,1/5/2016,439,North Colorado Limited
4703049,90L,1/1/1970,1/1/2036,390,US36 & Sheridan Limited
34,34,4/24/2016,1/1/2036,434,Bruce Randolph Ave
37,37,1/1/1970,1/1/2036,37,Smith Road Industrial
38,38,4/24/2016,1/1/2036,38,West 38th Avenue
42,42,1/1/1970,1/1/2036,42,Montbello via Albrook/GVR
43,43,4/24/2016,1/1/2036,43,Martin Luther King Blvd
45,45,4/24/2016,1/1/2036,45,Montbello via 51st/GVR
5041189,Q300,1/1/1970,1/14/2018,987,Union Station to Ward
5041190,Q301,1/1/1970,1/14/2018,988,Union Station to Clear Crk/Federal
5041191,Q302,1/1/1970,1/14/2018,989,Clear Crk/Federal to Olde Town
5041192,Q303,1/1/1970,1/14/2018,990,Olde Town to Ward
6,6,4/24/2016,1/1/2036,6,East 6th Avenue
4342329,A,4/24/2016,1/1/2036,111,A-Line
483,483,1/1/1970,1/1/2036,583,Parker Road - Lincoln Ave
1159275,HOP,4/24/2016,8/14/2016,234,Boulder Circulator
1278584,Q31,4/24/2016,1/1/2036,931,I-25/Broadway to Auraria West
1537489,Q35,4/24/2016,1/1/2036,935,Colfax at Auraria Station TO DUS
4543304,Q100,4/24/2016,1/1/2036,982,Union Station to Denver Airport
4543305,Q101,4/24/2016,1/1/2036,983,Union Station to 40th & Colorado
4543306,Q102,4/24/2016,1/1/2036,984,40th & Colorado to Peoria
5041193,Q103,1/1/1970,1/1/2036,985,Peoria to Denver Airport
88,88,4/24/2016,1/1/2036,88,Northglenn/Comm City/Central Park
1278591,Q50,4/24/2016,1/1/2036,950,Southmoor to Peoria
5041194,Q51,1/1/1970,11/12/2016,991,Southmore to Nine Mile
77,77,6/14/2012,1/1/2036,77,Ken Caryl Avenue
104,104,6/14/2012,1/1/2036,104,West 104th Avenue
1000502,US85,10/6/2012,10/27/2012,726,US85 & Bridge
1000511,BNLX,10/6/2012,10/27/2012,725,NOG Loop Extra
1000516,WAGN,10/6/2012,10/27/2012,722,Wagon Road
1000562,FCS,10/6/2012,10/27/2012,720,Federal Center Station
1000580,BMLX,10/6/2012,10/27/2012,724,MOG Loop Extra
1000581,BLDR,10/6/2012,10/27/2012,723,Boulder
1000502,US85,10/27/2012,9/14/2013,814,US85 & Bridge St. PnR
1000511,BNLX,10/27/2012,9/14/2013,824,NOG Loop Extra
1000516,WAGN,10/27/2012,9/14/2013,816,Wagon Road/Thornton PnR
1000562,FCS,10/27/2012,1/1/2036,802,Federal Center Station
1000580,BMLX,10/27/2012,9/14/2013,823,MOG Loop Extra
1000581,BLDR,10/27/2012,9/14/2013,821,Boulder/Broomfield
1159275,HOP,1/1/1970,2/26/2013,HOP,HOP
1160743,104X,1/1/1970,2/26/2013,104X,104X
1160743,104X,2/26/2013,1/1/2036,604,Commerce City / Denver Express
1159275,HOP,2/26/2013,4/24/2016,234,HOP
1161793,L16,1/1/1970,1/1/2036,450,16/16L West Colfax
323,323,2/26/2013,1/1/2036,323,Skyline Crosstown
324,324,2/26/2013,1/1/2036,324,Main Street
326,326,2/26/2013,1/1/2036,326,Westside Crosstown
327,327,2/26/2013,1/1/2036,327,Eastside Crosstown
1000546,DM,2/26/2013,1/1/2036,341,Boulder / Anschutz Campus
1161794,L29,1/1/1970,1/1/2036,458,29/36  S Federal-Littleton
89,89,1/1/1970,5/11/2014,89,Stapleton/Anschutz Campus
1161795,L30,1/1/1970,1/1/2036,457,30/30L/31 S. Federal combined
1025151,BB01,2/26/2013,1/1/2036,901,30th/Dwn TO 18th & Cal
1161796,L79,1/1/1970,1/1/2036,456,79L/83L Leetsdale Limited
1161797,X2,1/1/1970,1/1/2036,459,2X/5X Federal Center Station
12,12,2/26/2013,1/1/2036,12,Downing / N Washington
1161798,BB41,1/1/1970,1/1/2036,941,Southmoor TO University
1161799,XAT,1/1/1970,1/1/2036,461,ABA/AF/AT Airport & 40th
1000594,YL,2/26/2013,1/1/2036,352,Lyons / Longmont
1103842,RNLX,4/6/2013,1/1/2036,711,Boulder Loop Extra
1103844,86R,4/6/2013,7/2/2016,705,Broomfield/Wstm Cntr PnR
1255207,RMLX,1/1/1970,1/1/2036,710,Metro Loop Extra
1278572,Q00,1/1/1970,1/1/2036,900,10th/Osage to 30th/Downing
1278573,Q01,1/1/1970,1/1/2036,901,Convention Center to 30th/Downing
1278574,Q02,1/1/1970,1/1/2036,902,18th/California to 30th/Downing
1278575,Q03,1/1/1970,1/1/2036,903,25th/Welton to 30th/Downing
1278576,GMCR,1/1/1970,1/1/2036,696,Green Mountain Call-n-Ride
